epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.6712499856948853,0.8557335734367371,1e-04,0.6626562476158142,0.7766779065132141
1,0.7362343668937683,0.7143203020095825,1e-04,0.663281261920929,0.7264552116394043
2,0.768359363079071,0.6413070559501648,1e-04,0.6768749952316284,0.6808196306228638
3,0.7791249752044678,0.5836907029151917,1e-04,0.6948437690734863,0.642909824848175
4,0.7925156354904175,0.539340078830719,1e-04,0.6935937404632568,0.6244761943817139
5,0.7971562743186951,0.5053508281707764,1e-04,0.7010937333106995,0.6024775505065918
6,0.8048906326293945,0.4791041314601898,1e-04,0.6917187571525574,0.5989859104156494
7,0.8069843649864197,0.4606165885925293,1e-04,0.6909375190734863,0.5870126485824585
8,0.8094375133514404,0.44488078355789185,1e-04,0.6754687428474426,0.5888296365737915
9,0.8138906359672546,0.4278072416782379,1e-04,0.6723437309265137,0.5910434126853943
10,0.8168125152587891,0.4200338125228882,5e-05,0.6771875023841858,0.5884698629379272
11,0.8217187523841858,0.4118606746196747,5e-05,0.6807812452316284,0.595458984375
12,0.8213281035423279,0.4098215103149414,2.5e-05,0.6764062643051147,0.5909783244132996
13,0.823312520980835,0.4065372347831726,2.5e-05,0.6754687428474426,0.5926687717437744
14,0.8251718878746033,0.4059057831764221,1.25e-05,0.6753125190734863,0.5909215807914734
15,0.8261562585830688,0.40394896268844604,1.25e-05,0.6821874976158142,0.5887438058853149
16,0.8274999856948853,0.39927369356155396,6.25e-06,0.680468738079071,0.5935152173042297
17,0.8255312442779541,0.40309879183769226,6.25e-06,0.6790624856948853,0.589623749256134
18,0.8272343873977661,0.3988892138004303,3.125e-06,0.6785937547683716,0.5912101864814758
19,0.827218770980835,0.39819464087486267,3.125e-06,0.6803125143051147,0.590620219707489
