epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.602468729019165,1.2186330556869507,1e-04,0.7653124928474426,1.1277364492416382
1,0.7063124775886536,0.9666672348976135,1e-04,0.7426562309265137,1.0206298828125
2,0.7562500238418579,0.7947104573249817,1e-04,0.7459375262260437,0.9665805697441101
3,0.7866093516349792,0.6718300580978394,1e-04,0.7450000047683716,0.8165192604064941
4,0.8057812452316284,0.5857278108596802,1e-04,0.7543749809265137,0.7731802463531494
5,0.8230624794960022,0.5227782130241394,1e-04,0.7542187571525574,0.7909316420555115
6,0.8377812504768372,0.4800608158111572,1e-04,0.7512500286102295,0.7701645493507385
7,0.8490468859672546,0.4460473954677582,1e-04,0.7506250143051147,0.7045547962188721
8,0.8578281402587891,0.4195152819156647,1e-04,0.7607812285423279,0.7033445239067078
9,0.8706406354904175,0.3933931589126587,1e-04,0.7549999952316284,0.7229694128036499
10,0.8784062266349792,0.37801870703697205,1e-04,0.7371875047683716,0.7116003632545471
11,0.8879843950271606,0.3602601885795593,5e-05,0.7596874833106995,0.7048110365867615
12,0.8911874890327454,0.35452449321746826,5e-05,0.7540624737739563,0.7123806476593018
13,0.8994218707084656,0.341412752866745,2.5e-05,0.7574999928474426,0.7359550595283508
14,0.9005625247955322,0.33951297402381897,2.5e-05,0.7603124976158142,0.6882737874984741
15,0.9025468826293945,0.3333532214164734,2.5e-05,0.75,0.7089720368385315
16,0.9035624861717224,0.33031824231147766,2.5e-05,0.7439062595367432,0.6818943619728088
17,0.9047968983650208,0.32762712240219116,2.5e-05,0.7523437738418579,0.7123481035232544
18,0.9067968726158142,0.3238350749015808,2.5e-05,0.7574999928474426,0.7178036570549011
19,0.9082187414169312,0.31988170742988586,1.25e-05,0.7467187643051147,0.7117637395858765
20,0.9100156426429749,0.31665608286857605,1.25e-05,0.7545312643051147,0.707968533039093
21,0.9114687442779541,0.31727689504623413,6.25e-06,0.753125011920929,0.7046928405761719
22,0.9116718769073486,0.31533265113830566,6.25e-06,0.754687488079071,0.7072216272354126
23,0.9108906388282776,0.31517502665519714,3.125e-06,0.75390625,0.6994147300720215
24,0.911453127861023,0.3145490288734436,3.125e-06,0.7523437738418579,0.7055105566978455
25,0.9112969040870667,0.3133174479007721,1.5625e-06,0.7504687309265137,0.7054890990257263
26,0.9117500185966492,0.310573548078537,1.5625e-06,0.750781238079071,0.7030647993087769
27,0.9131249785423279,0.31339260935783386,1e-06,0.7510937452316284,0.7067928314208984
28,0.9136562347412109,0.3110682964324951,1e-06,0.7523437738418579,0.7155191898345947
