epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.5991874933242798,1.027550220489502,1e-04,0.6781250238418579,0.919077455997467
1,0.6841250061988831,0.8076441884040833,1e-04,0.6756250262260437,0.8063886165618896
2,0.7263281345367432,0.6859102249145508,1e-04,0.6876562237739563,0.7474234104156494
3,0.754156231880188,0.6040226817131042,1e-04,0.7010937333106995,0.7182589173316956
4,0.771484375,0.5502572059631348,1e-04,0.7121875286102295,0.6833996772766113
5,0.7833906412124634,0.5079164505004883,1e-04,0.6814062595367432,0.6855300068855286
6,0.7973750233650208,0.4749824106693268,1e-04,0.6968749761581421,0.6728490591049194
7,0.812125027179718,0.4481978416442871,1e-04,0.7190625071525574,0.6698076128959656
8,0.8257343769073486,0.4247846305370331,1e-04,0.721875011920929,0.6647180318832397
9,0.8381875157356262,0.40048426389694214,1e-04,0.7298437356948853,0.6711553931236267
10,0.8486875295639038,0.3863990604877472,1e-04,0.7576562762260437,0.6910538673400879
11,0.8579062223434448,0.3727317452430725,5e-05,0.7431250214576721,0.6881536841392517
12,0.8652187585830688,0.3619467616081238,5e-05,0.7467187643051147,0.6974230408668518
13,0.8725000023841858,0.3515978157520294,2.5e-05,0.7321875095367432,0.709855318069458
14,0.8760156035423279,0.3472761809825897,2.5e-05,0.7535937428474426,0.7140710353851318
15,0.8794375061988831,0.3425337076187134,1.25e-05,0.7412499785423279,0.6981520652770996
16,0.883718729019165,0.3400408625602722,1.25e-05,0.7321875095367432,0.7040085792541504
17,0.8809375166893005,0.3388316035270691,6.25e-06,0.7415624856948853,0.7058356404304504
18,0.882562518119812,0.33626946806907654,6.25e-06,0.7465624809265137,0.7017269134521484
19,0.8827968835830688,0.33440011739730835,3.125e-06,0.7443749904632568,0.7029820084571838
20,0.8835312724113464,0.3344627022743225,3.125e-06,0.7354687452316284,0.7052367925643921
