iteration,train_loss
1,0.6699161058215424
2,0.6602851079976193
3,0.6511139517699107
4,0.6424114062087352
5,0.6341564207806226
6,0.6262094245328151
7,0.6187766424591964
8,0.6116113149893972
9,0.6046849380936774
10,0.5980244124763872
11,0.5917136890625391
12,0.5856405775109003
13,0.5798547384403213
14,0.5741563597226241
15,0.5688484579355592
16,0.5636591028919549
17,0.5586609409666873
18,0.5539321560488755
19,0.5493624731995551
20,0.5449385990915333
21,0.5406236321633765
22,0.536434942209728
23,0.5324511858236519
24,0.5285343419477203
25,0.5247864656690262
26,0.5212078498115414
27,0.5177326560933158
28,0.5144587575933943
29,0.5111936055856202
30,0.5080069789316664
31,0.5050245575569822
32,0.5020973700110172
33,0.4993026710267393
34,0.4964323479241539
35,0.49376020943464094
36,0.49106676827142004
37,0.48849044463609187
38,0.4860107928947103
39,0.48366226085876823
40,0.48128563881355346
41,0.4789348212233559
42,0.4766895745272667
43,0.47455805295748693
44,0.47241652660565514
45,0.47033683729450165
46,0.46829291013687924
47,0.46635850544174023
48,0.46450973464783
49,0.46273489454694683
50,0.46094292867626163
51,0.459142972250999
52,0.4574807802793142
53,0.4558399925044915
54,0.45427555537850123
55,0.4526987856679029
56,0.4512225770237268
57,0.4498492521914899
58,0.44847612602741627
59,0.44702513232659036
60,0.445711957381713
61,0.4443613066055462
62,0.4431273935098732
63,0.4418256718205323
64,0.44055306113898574
65,0.4393826321796104
66,0.43823479956531947
67,0.4371213932184547
68,0.4360614905878951
69,0.43500022456045107
70,0.43392067466863404
71,0.4328460511747633
72,0.43180272780473694
73,0.4308022401102372
74,0.42980696042309363
75,0.4288942425611027
76,0.4279369013407044
77,0.42704393846518357
78,0.42611635133537873
79,0.4252317372318131
80,0.42434961764737317
81,0.4235239349955632
82,0.4227184471518622
83,0.4218584126035498
84,0.4210961334562016
85,0.4203404190693672
86,0.4195736164043597
87,0.4188894506514725
88,0.41818875988586046
89,0.41739703567927994
90,0.41667459698767423
91,0.4159682364989819
92,0.41527315060277936
93,0.41449302767773744
94,0.41381271197544806
95,0.4132062246334191
96,0.4126248113566125
97,0.411890584556211
98,0.4112959658252342
99,0.41069412995284815
100,0.4101484305071556
101,0.409461490870181
102,0.40877415838315406
103,0.40811729896054283
104,0.40758735427188086
105,0.4069582647728457
106,0.40651531506914856
107,0.40590085142253274
108,0.4054535894685909
109,0.4049232973848207
110,0.4044810090869081
111,0.40395730960705056
112,0.40336720649721675
113,0.4029054079288216
114,0.4024180606890188
115,0.4019798246365716
116,0.40140498479059034
