config_id,conv_filters,dense_units,dropout_rate,preprocessing,n_folds,mean_val_acc,std_val_acc,mean_motion_acc,std_motion_acc,mean_NoGesture_acc,std_NoGesture_acc,mean_Gesture_acc,std_Gesture_acc,mean_Move_acc,std_Move_acc,mean_nogesture_to_gesture,mean_nogesture_to_move,mean_gesture_to_nogesture,mean_gesture_to_move,mean_move_to_nogesture,mean_move_to_gesture,score
1,"(16, 32, 64)",64,0.3,basic,3,0.4371354166666667,0.03730533967216432,0.6355208333333334,0.05365852398436388,0.403537409757327,0.08681380953457203,0.4543294349338532,0.1024474795804058,0.4513650222139489,0.17404173958801522,0.27341685481528527,0.32304573542738774,0.1989504997764829,0.34672006528966387,0.27381176593746537,0.27482321184858566,2.6402561405266596
2,"(16, 32, 64)",64,0.3,enhanced,2,0.476171875,0.02679687499999997,0.6521874999999999,0.02046874999999998,0.521350461470222,0.07409113397137351,0.6116106641426092,0.0550560025240574,0.2880055156755035,0.07375514457208934,0.4054313026368915,0.07321823589288659,0.2978598882350117,0.09052944762237905,0.2681494695427493,0.4438450147817472,2.7891054944818565
3,"(16, 32, 64)",64,0.5,basic,3,0.46625,0.021804947355283075,0.6488020833333333,0.012985577269181724,0.33111043902571025,0.08418983212791593,0.5365218499886191,0.08755227760186957,0.5562821636911565,0.16421945473007352,0.41337673050787965,0.25551283046641005,0.15602050437202544,0.30745764563935546,0.20218511866291067,0.24153271764593298,2.521071410913565
4,"(16, 32, 64)",64,0.5,enhanced,3,0.45875,0.007958019736404288,0.6403645833333332,0.010792440850608776,0.32610863576046184,0.08854601306633557,0.6968488737058931,0.025874816048788832,0.34144704598646913,0.055978717256022485,0.5587218169762982,0.11516954726323995,0.18206691924912718,0.12108420704497984,0.19548680718457953,0.46306614682895125,2.477473276745455
5,"(16, 32, 64)",128,0.3,basic,3,0.5130208333333334,0.046531612611451854,0.6790625,0.04964735668735714,0.518938555238619,0.04779522830969572,0.5961482063436812,0.023327874402793696,0.41216690294748615,0.07407731417180831,0.2826947130109286,0.19836673175045247,0.19647392131033944,0.20737787234597946,0.2686658553873768,0.319167241665137,3.2624921419106125
6,"(16, 32, 64)",128,0.3,enhanced,3,0.4527604166666667,0.017396613006479794,0.64546875,0.009523135206782836,0.4073454857699479,0.082214388600087,0.6514610255183227,0.05177479693808561,0.27837825797165655,0.077555744737049,0.49357986653576785,0.0990746476942843,0.22560073627520202,0.12293823820647526,0.22254797182547859,0.49907377020286475,2.5982614539481217
7,"(16, 32, 64)",128,0.5,basic,3,0.4529166666666667,0.028164420675985666,0.6453645833333334,0.02357747553133191,0.3404909532300497,0.03690914630733553,0.51683381677394,0.11719903561677811,0.5025299594839073,0.10083575066814421,0.3479619446433378,0.3115471021266126,0.17889503230092393,0.3042711509251361,0.2062764867845103,0.29119355373158246,2.5688649154434704
8,"(16, 32, 64)",128,0.5,enhanced,3,0.45843750000000005,0.0672007012224699,0.6577083333333335,0.03477755140312817,0.2885319920304345,0.12582558542849068,0.7630864544865364,0.0368242957438518,0.30238766780273063,0.09986043140718852,0.5953324565133026,0.1161355514562629,0.12953123200154834,0.10738231351191514,0.16935926057231246,0.5282530716249568,2.5594338147817703
9,"(48, 96, 192)",64,0.3,basic,3,0.48994791666666665,0.028024221449439446,0.6590104166666667,0.03683753687835129,0.5665836878337958,0.05764639531901213,0.5862184578068139,0.007707301172582853,0.28571133854603314,0.03801031396889426,0.3365486457261067,0.09686766644009759,0.2592498687107769,0.15453167348240918,0.31057721918324727,0.40371144227071953,3.063014290958013
10,"(48, 96, 192)",64,0.3,enhanced,3,0.44505208333333335,0.013788023499178143,0.6242187499999999,0.0031868871959954735,0.3421235671599658,0.16344685687836688,0.6765153634486062,0.07966840216839569,0.3025701209169835,0.05003978433384109,0.5511093013819778,0.10676713145805643,0.2052771416724528,0.11820749487894096,0.2359590192732893,0.46147085980972724,2.383373201609105
11,"(48, 96, 192)",64,0.5,basic,3,0.4925,0.0629229180807094,0.6930729166666666,0.05433672223902135,0.5337791803852708,0.06589126341172555,0.5554518455064112,0.06313856482331172,0.3740467201588073,0.0626860284809514,0.28016362226018227,0.18605719735454687,0.18000383810259013,0.2645443163909986,0.2611807238974838,0.3647725559437089,3.2744229629771096
12,"(48, 96, 192)",64,0.5,enhanced,3,0.41468750000000004,0.02134667043221651,0.6083333333333334,0.023088489383541095,0.25754110156351695,0.0935649894929395,0.7557804761846355,0.07931129360870783,0.19892143969383694,0.0695013571334833,0.6553528758858685,0.08710602255061455,0.16582159583304415,0.07839792798232029,0.2404250729205177,0.5606534873856454,2.187947541626263
