epoch,overall_acc,motion_acc,val_loss,train_loss,train_acc,learning_rate,NoGesture_acc,Gesture_acc,Move_acc,nogesture_to_gesture,nogesture_to_move,gesture_to_nogesture,gesture_to_move,move_to_nogesture,move_to_gesture
0,0.3290625,0.3290625,,,,9.999999747378752e-05,0.9995251661918328,0.0,0.0004585052728106373,0.0,0.0004748338081671415,1.0,0.0,0.9995414947271893,0.0
0,0.33015625,0.6709375,0.7952823638916016,0.9111118316650391,0.6668280959129333,9.999999747378752e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.33015625,0.6709375,0.739500105381012,0.7477653622627258,0.735546886920929,9.999999747378752e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0.33015625,0.6709375,0.6907514333724976,0.6939340829849243,0.749750018119812,9.999999747378752e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0.33015625,0.6709375,0.6485351324081421,0.6473990082740784,0.7504687309265137,9.999999747378752e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,0.3334375,0.6709375,0.6235257387161255,0.6126659512519836,0.7466250061988831,9.999999747378752e-05,0.0,0.9725508755324184,0.03622191655204035,0.966286799620133,0.033713200379867046,0.0,0.02744912446758164,0.0,0.9637780834479597
5,0.33625,0.6709375,0.606798529624939,0.5898875594139099,0.7335781455039978,9.999999747378752e-05,0.0,0.9488878371982963,0.06740027510316368,0.9349477682811016,0.06505223171889839,0.0,0.05111216280170374,0.0,0.9325997248968363
6,0.33875,0.6709375,0.5957790613174438,0.5732347965240479,0.7359687685966492,9.999999747378752e-05,0.0,0.9455750118315192,0.07794589637780834,0.9283000949667616,0.07169990503323836,0.0,0.054424988168480834,0.0,0.9220541036221916
7,0.3540625,0.6709375,0.5855286717414856,0.5615017414093018,0.731374979019165,9.999999747378752e-05,0.0,0.9266445811642214,0.14121962402567628,0.8603988603988604,0.1396011396011396,0.0,0.07335541883577851,0.0,0.8587803759743237
8,0.36046875,0.6709375,0.5807310342788696,0.5521669387817383,0.7341874837875366,9.999999747378752e-05,0.0,0.9687647893989588,0.1192113709307657,0.9150047483380817,0.08499525166191833,0.0,0.031235210601041175,0.0,0.8807886290692343
9,0.38734375,0.6709375,0.5729476809501648,0.5429933071136475,0.7502343654632568,9.999999747378752e-05,0.0,0.9682915286322764,0.19853278312700595,0.8879392212725546,0.1120607787274454,0.0,0.03170847136772362,0.0,0.801467216872994
10,0.394375,0.6709375,0.5666959285736084,0.5348209738731384,0.7604531049728394,9.999999747378752e-05,0.0,0.9682915286322764,0.21916552040348464,0.8841405508072174,0.11585944919278253,0.0,0.03170847136772362,0.0,0.7808344795965153
11,0.3921875,0.6721875,0.5704463124275208,0.5248443484306335,0.7781562209129333,9.999999747378752e-05,0.006647673314339981,0.9758637008991955,0.19899128839981658,0.9045584045584045,0.08879392212725547,0.000473260766682442,0.023663038334122102,0.0022925263640531865,0.7987161852361302
12,0.39296875,0.67375,0.569237470626831,0.5182390213012695,0.7833437323570251,9.999999747378752e-05,0.029914529914529916,0.9734973970657832,0.18110958276020175,0.8979107312440646,0.0721747388414055,0.005205868433506862,0.02129673450070989,0.015589179275561669,0.8033012379642366
13,0.4034375,0.66796875,0.5671371817588806,0.5112069845199585,0.7901406288146973,4.999999873689376e-05,0.07597340930674264,0.9408424041646948,0.19899128839981658,0.842355175688509,0.08167141500474834,0.026502602934216753,0.0326549929010885,0.05639614855570839,0.744612563044475
14,0.41046875,0.67296875,0.562796413898468,0.5087997913360596,0.7934218645095825,4.999999873689376e-05,0.0835707502374169,0.9365830572645528,0.2164144887666208,0.8200379867046533,0.09639126305792972,0.028868906767628964,0.03454803596781827,0.04676753782668501,0.7368179734066942
15,0.40109375,0.65140625,0.5675920248031616,0.5054061412811279,0.7970781326293945,4.999999873689376e-05,0.12725546058879392,0.8868906767628963,0.19486474094452086,0.7977207977207977,0.07502374169040836,0.07856128726928538,0.03454803596781827,0.10408069692801467,0.7010545621274644
16,0.41671875,0.65984375,0.5569724440574646,0.5019506216049194,0.7982031106948853,4.999999873689376e-05,0.10113960113960115,0.8764789398958827,0.27602017423200365,0.7697056030389364,0.1291547958214625,0.06105063890203502,0.06247042120208235,0.07106831728564879,0.6529115084823476
17,0.41453125,0.6571875,0.5558899641036987,0.4972265362739563,0.8032187223434448,4.999999873689376e-05,0.09781576448243115,0.8655939422621864,0.2833562585969739,0.7815764482431149,0.12060778727445394,0.06057737813535258,0.07382867960246095,0.0761118752865658,0.6405318661164603
18,0.42703125,0.65,0.5551111698150635,0.4936263859272003,0.807937502861023,4.999999873689376e-05,0.19705603038936373,0.8230004732607666,0.265474552957359,0.7132003798670465,0.08974358974358974,0.12636062470421203,0.0506389020350213,0.12929848693259974,0.6052269601100413
19,0.43359375,0.64265625,0.5557826161384583,0.49177980422973633,0.8039218783378601,4.999999873689376e-05,0.2706552706552707,0.7780407004259347,0.25722145804676755,0.6547958214624882,0.07454890788224122,0.17936583057264552,0.04259346900141978,0.17056396148555708,0.5722145804676754
20,0.428125,0.64546875,0.5503227114677429,0.48646843433380127,0.8074530959129333,4.999999873689376e-05,0.20750237416904083,0.820160908660672,0.2613480055020633,0.7117758784425451,0.08072174738841406,0.13440605773781353,0.04543303360151443,0.1448876662081614,0.5937643282897753
21,0.43984375,0.63734375,0.5538644194602966,0.48068296909332275,0.8135312795639038,4.999999873689376e-05,0.36657169990503324,0.7079981069569332,0.25080238422741863,0.5641025641025641,0.06932573599240266,0.23237103644107904,0.05963085660198769,0.22741861531407612,0.5217790004585052
22,0.45875,0.63984375,0.5440438985824585,0.4752623438835144,0.8164530992507935,4.999999873689376e-05,0.32905982905982906,0.7430194036914339,0.3085740486015589,0.5868945868945868,0.08404558404558404,0.2049219119734974,0.05205868433506862,0.21045392022008252,0.48097203117835857
23,0.46015625,0.64484375,0.5394288897514343,0.4721164107322693,0.8160937428474426,4.999999873689376e-05,0.37606837606837606,0.7061050638902036,0.30307198532783125,0.5398860398860399,0.08404558404558404,0.23710364410790347,0.05679129200189304,0.2099954149472719,0.48693259972489683
24,0.4496875,0.62109375,0.5508954524993896,0.46988531947135925,0.8161875009536743,4.999999873689376e-05,0.4852801519468186,0.6161855182205395,0.2540119211370931,0.4539411206077873,0.060778727445394115,0.33412210127780406,0.04969238050165641,0.2911508482347547,0.45483723062815223
25,0.4475,0.61765625,0.5501776933670044,0.46355199813842773,0.8206718564033508,4.999999873689376e-05,0.5161443494776828,0.5721722669190724,0.260430994956442,0.4045584045584046,0.07929724596391263,0.3677236157122575,0.060104117368670135,0.2984869325997249,0.44108207244383313
26,0.463125,0.6453125,0.5399256944656372,0.4605144262313843,0.8211562633514404,2.499999936844688e-05,0.4658119658119658,0.6313298627543776,0.2975699220541036,0.44254510921177587,0.09164292497625831,0.3009938476100331,0.0676762896355892,0.2333791838606144,0.469050894085282
27,0.4528125,0.65453125,0.5471735596656799,0.4577195942401886,0.8220468759536743,2.499999936844688e-05,0.4553656220322887,0.6672976810222433,0.24254928931682715,0.47293447293447294,0.07169990503323836,0.2650260293421675,0.0676762896355892,0.2310866574965612,0.5263640531866116
28,0.46671875,0.645,0.5408024787902832,0.45298469066619873,0.8250156044960022,1.249999968422344e-05,0.5042735042735043,0.619971604353999,0.28198074277854196,0.40883190883190884,0.0868945868945869,0.3085660198769522,0.07146237576904875,0.2640990371389271,0.45392022008253097
29,0.46546875,0.6396875,0.541861891746521,0.4534609615802765,0.8225468993186951,1.249999968422344e-05,0.5104463437796771,0.6029342167534312,0.28885832187070154,0.4083570750237417,0.0811965811965812,0.3379081874112636,0.059157595835305256,0.25722145804676755,0.45392022008253097
30,0.4603125,0.64046875,0.5439274311065674,0.45163390040397644,0.8252031207084656,6.24999984211172e-06,0.50332383665717,0.6067203028868907,0.27693718477762497,0.41452991452991456,0.08214624881291548,0.3298627543776621,0.06341694273544723,0.2558459422283356,0.4672168729940394
31,0.4603125,0.6428125,0.545307993888855,0.45091015100479126,0.8243906497955322,6.24999984211172e-06,0.5351377018043685,0.5854235683861808,0.2668500687757909,0.38698955365622034,0.0778727445394112,0.35068622811168954,0.06389020350212968,0.25951398441082074,0.47363594681338833
32,0.46234375,0.6525,0.5420575141906738,0.45005327463150024,0.8239218592643738,3.12499992105586e-06,0.5170940170940171,0.6147657359204922,0.26180651077487394,0.4097815764482431,0.0731244064577398,0.31945101751064836,0.06578324656885944,0.24392480513525905,0.494268684089867
33,0.46796875,0.64703125,0.5397656559944153,0.45086297392845154,0.826953113079071,3.12499992105586e-06,0.5142450142450142,0.6043539990534784,0.2911508482347547,0.40550807217473883,0.08024691358024691,0.32749645054424986,0.06814955040227165,0.2494268684089867,0.4594222833562586
34,0.46703125,0.64609375,0.5411551594734192,0.45000654458999634,0.8254531025886536,1.56249996052793e-06,0.51994301994302,0.6029342167534312,0.28427326914259515,0.40550807217473883,0.07454890788224122,0.3303360151443445,0.06672976810222432,0.25492893168271435,0.4607977991746905
35,0.4596875,0.64421875,0.5424365401268005,0.4490773677825928,0.8255624771118164,1.56249996052793e-06,0.5275403608736942,0.5991481306199716,0.2590554791380101,0.3983855650522317,0.07407407407407407,0.3355418835778514,0.065309985802177,0.2627235213204952,0.4782209995414947
