epoch,overall_acc,motion_acc,val_loss,train_loss,train_acc,learning_rate,NoGesture_acc,Gesture_acc,Move_acc,nogesture_to_gesture,nogesture_to_move,gesture_to_nogesture,gesture_to_move,move_to_nogesture,move_to_gesture
0,0.34078125,0.6709375,,,,9.999999747378752e-05,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.33015625,0.6709375,1.005587100982666,1.1586246490478516,0.7078750133514404,9.999999747378752e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.33015625,0.6709375,0.8321090936660767,0.896626353263855,0.7496406435966492,9.999999747378752e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0.33953125,0.6709375,0.7175003886222839,0.748562753200531,0.7405624985694885,9.999999747378752e-05,0.0,0.9725508755324184,0.0541036221916552,0.9591642924976258,0.04083570750237417,0.0,0.02744912446758164,0.0,0.9458963778083448
3,0.3528125,0.6709375,0.6545693874359131,0.6588895916938782,0.7300000190734863,9.999999747378752e-05,0.0,0.8968291528632276,0.16643741403026135,0.8627730294396961,0.1372269705603039,0.0,0.10317084713677237,0.0,0.8335625859697386
4,0.35890625,0.6709375,0.6245808601379395,0.608008861541748,0.7359374761581421,9.999999747378752e-05,0.0,0.9460482725982016,0.13663457129756992,0.9045584045584045,0.09544159544159544,0.0,0.05395172740179839,0.0,0.86336542870243
5,0.37515625,0.66921875,0.6046819686889648,0.5732953548431396,0.7567499876022339,9.999999747378752e-05,0.007597340930674264,0.9233317557974444,0.19899128839981658,0.8698955365622032,0.1225071225071225,0.005679129200189304,0.07098911500236631,0.0068775790921595595,0.7941311325080238
6,0.40109375,0.66390625,0.5911501049995422,0.5489082932472229,0.7820624709129333,9.999999747378752e-05,0.04843304843304843,0.8849976336961666,0.2728106373223292,0.7849002849002849,0.16666666666666666,0.022243256034074774,0.09275911026975864,0.04585052728106373,0.6813388353966071
7,0.4221875,0.62671875,0.5853321552276611,0.5301371812820435,0.7962656021118164,9.999999747378752e-05,0.18708452041785376,0.7510648367250355,0.3305823016964695,0.6362773029439696,0.17663817663817663,0.1362991008045433,0.1126360624704212,0.17835855112333793,0.49105914718019256
8,0.4225,0.65453125,0.5851398706436157,0.5124304294586182,0.8055156469345093,9.999999747378752e-05,0.15004748338081672,0.8689067676289636,0.2530949105914718,0.7725546058879392,0.07739791073124407,0.08566019876952201,0.04543303360151443,0.11004126547455295,0.6368638239339752
9,0.41484375,0.61640625,0.5877569913864136,0.498751699924469,0.8166093826293945,9.999999747378752e-05,0.3499525166191833,0.6658778987221959,0.23429619440623567,0.5716999050332384,0.07834757834757834,0.2702318977756744,0.06389020350212968,0.23613021549747823,0.5295735900962861
10,0.43546875,0.6159375,0.580502450466156,0.4841400980949402,0.8247187733650208,9.999999747378752e-05,0.4358974358974359,0.6176053005205868,0.2585969738651995,0.5071225071225072,0.05698005698005698,0.3142451490771415,0.06814955040227165,0.27785419532324623,0.46354883081155435
11,0.44046875,0.65609375,0.5793161988258362,0.47081702947616577,0.833859384059906,9.999999747378752e-05,0.38224121557454893,0.7146237576904875,0.2310866574965612,0.5607787274453941,0.05698005698005698,0.22669190724088972,0.05868433506862281,0.19303071985327833,0.5758826226501604
12,0.44234375,0.64609375,0.5709089040756226,0.45879071950912476,0.8346718549728394,9.999999747378752e-05,0.4154795821462488,0.6261239943208708,0.2902338376891334,0.49810066476733145,0.08641975308641975,0.2806436346426881,0.09323237103644108,0.20220082530949107,0.5075653370013755
13,0.44578125,0.61796875,0.6077125072479248,0.4478675425052643,0.8404374718666077,9.999999747378752e-05,0.5797720797720798,0.5934690014197823,0.1733149931224209,0.38271604938271603,0.03751187084520418,0.3691433980123048,0.03738760056791292,0.3576341127922971,0.469050894085282
14,0.4640625,0.63515625,0.5896857380867004,0.44125160574913025,0.8440155982971191,9.999999747378752e-05,0.6438746438746439,0.5286322763842878,0.22787712058688675,0.3167141500474834,0.03941120607787275,0.40795078088026504,0.06341694273544723,0.3314993122420908,0.44062356717102247
15,0.44640625,0.65125,0.5896061062812805,0.4273812770843506,0.8516250252723694,4.999999873689376e-05,0.5550807217473884,0.5655466161855183,0.2260430994956442,0.39173789173789175,0.05318138651471985,0.36535731187884524,0.06909607193563654,0.23979825767996332,0.5341586428243925
16,0.47515625,0.6409375,0.6049346327781677,0.41981762647628784,0.8577499985694885,4.999999873689376e-05,0.6652421652421653,0.5305253194510176,0.23796423658872076,0.2943969610636277,0.04036087369420703,0.4188357785139612,0.0506389020350213,0.3246217331499312,0.437414030261348
17,0.46875,0.6590625,0.5767523050308228,0.41206690669059753,0.8606874942779541,2.499999936844688e-05,0.5465337132003799,0.5683861807856129,0.297111416781293,0.3865147198480532,0.06695156695156695,0.3331755797444392,0.09843823946994794,0.23979825767996332,0.4630903255387437
18,0.4690625,0.65390625,0.5871707797050476,0.4113273024559021,0.8629999756813049,2.499999936844688e-05,0.5313390313390314,0.6270705158542357,0.2558459422283356,0.4083570750237417,0.06030389363722697,0.29247515380974914,0.08045433033601515,0.27968821641448877,0.4644658413571756
19,0.4725,0.6515625,0.5910212993621826,0.40636515617370605,0.8639687299728394,1.249999968422344e-05,0.5688509021842355,0.5797444391859915,0.27556166895919304,0.37511870845204176,0.0560303893637227,0.3289162328442972,0.09133932796971131,0.2874828060522696,0.43695552498853735
20,0.469375,0.65421875,0.5876536965370178,0.40521323680877686,0.8650937676429749,1.249999968422344e-05,0.553656220322887,0.5896829152863228,0.2714351215038973,0.3879392212725546,0.0584045584045584,0.3246568859441552,0.08566019876952201,0.2691425951398441,0.4594222833562586
21,0.4684375,0.65,0.5963277220726013,0.4029964804649353,0.8679999709129333,6.24999984211172e-06,0.5987654320987654,0.575958353052532,0.2384227418615314,0.3561253561253561,0.04510921177587844,0.34831992427827735,0.07572172266919072,0.30215497478221,0.4594222833562586
22,0.475,0.65078125,0.5930683612823486,0.3997929096221924,0.8699687719345093,6.24999984211172e-06,0.5878442545109211,0.5863700899195456,0.2581384685923888,0.36799620132953464,0.04415954415954416,0.3379081874112636,0.07572172266919072,0.2994039431453462,0.442457588262265
23,0.47546875,0.65625,0.5894159078598022,0.40057680010795593,0.8691093921661377,3.12499992105586e-06,0.5626780626780626,0.599621391386654,0.27097661623108665,0.3817663817663818,0.05555555555555555,0.31803123521060106,0.08234737340274491,0.27831270059605684,0.4507106831728565
24,0.4775,0.6534375,0.591360330581665,0.40141212940216064,0.8677499890327454,3.12499992105586e-06,0.5911680911680912,0.5797444391859915,0.26868408986703346,0.3570750237416904,0.051756885090218425,0.3393279697113109,0.08092759110269758,0.29344337459880787,0.43787253553415867
