epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.7145312428474426,1.112945556640625,1e-04,0.5165625214576721,1.080672025680542
1,0.7459218502044678,0.8749551177024841,1e-04,0.5154687762260437,0.9862458109855652
2,0.7654843926429749,0.7325456738471985,1e-04,0.5731250047683716,0.8521430492401123
3,0.7828750014305115,0.6266422271728516,1e-04,0.5489062666893005,0.7969940304756165
4,0.7965468764305115,0.5537833571434021,1e-04,0.5751562714576721,0.8057420253753662
5,0.8070625066757202,0.5069288611412048,1e-04,0.5728124976158142,0.7867880463600159
6,0.8186249732971191,0.46869903802871704,1e-04,0.5903124809265137,0.7785919308662415
7,0.8261093497276306,0.44000616669654846,1e-04,0.5307812690734863,0.7759387493133545
8,0.8374062776565552,0.41752535104751587,1e-04,0.6012499928474426,0.722392737865448
9,0.8490156531333923,0.39427658915519714,1e-04,0.5956249833106995,0.7104427218437195
10,0.8553593754768372,0.3797726631164551,1e-04,0.6829687356948853,0.6879453063011169
11,0.8651875257492065,0.3609924018383026,1e-04,0.6859375238418579,0.7365448474884033
12,0.8639218807220459,0.3520054221153259,1e-04,0.7065625190734863,0.6727365851402283
13,0.8674530982971191,0.34210431575775146,1e-04,0.7045312523841858,0.6783521175384521
14,0.8694999814033508,0.33481672406196594,1e-04,0.7215625047683716,0.6615471839904785
15,0.8741562366485596,0.324603796005249,1e-04,0.719531238079071,0.6740453243255615
16,0.8771093487739563,0.31876781582832336,1e-04,0.7051562666893005,0.6802747845649719
17,0.8820624947547913,0.30660268664360046,5e-05,0.7370312213897705,0.6621178388595581
18,0.8847812414169312,0.3015317916870117,5e-05,0.7282812595367432,0.7140277624130249
19,0.8879531025886536,0.29258421063423157,2.5e-05,0.7243750095367432,0.6813961863517761
20,0.8868593573570251,0.2904934585094452,2.5e-05,0.7235937714576721,0.6772305369377136
21,0.8895468711853027,0.28661903738975525,1.25e-05,0.7323437333106995,0.6993361115455627
22,0.8918593525886536,0.28359514474868774,1.25e-05,0.7314062714576721,0.7113077640533447
23,0.8913750052452087,0.28313887119293213,6.25e-06,0.7315624952316284,0.6993377208709717
24,0.8902343511581421,0.2844264507293701,6.25e-06,0.7321875095367432,0.6905983686447144
25,0.892828106880188,0.28213736414909363,3.125e-06,0.7315624952316284,0.687692403793335
26,0.8956249952316284,0.28093644976615906,3.125e-06,0.7321875095367432,0.6947198510169983
