epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.6870625019073486,0.8592934012413025,1e-04,0.530468761920929,0.8077577948570251
1,0.7134374976158142,0.698364794254303,1e-04,0.5540624856948853,0.7615249156951904
2,0.7252187728881836,0.647445559501648,1e-04,0.5401562452316284,0.7413738369941711
3,0.7375781536102295,0.6024380326271057,1e-04,0.5153124928474426,0.702517569065094
4,0.7474062442779541,0.5641273260116577,1e-04,0.5,0.7098633050918579
5,0.755203127861023,0.5322750210762024,1e-04,0.5420312285423279,0.675401508808136
6,0.7705312371253967,0.5038604140281677,1e-04,0.5487499833106995,0.70255446434021
7,0.7795937657356262,0.48236337304115295,1e-04,0.5426562428474426,0.6491941809654236
8,0.7896562218666077,0.4646278917789459,1e-04,0.6495312452316284,0.6111074090003967
9,0.8046093583106995,0.4453739821910858,1e-04,0.6128125190734863,0.6433784365653992
10,0.8125156164169312,0.43106552958488464,1e-04,0.6098437309265137,0.64092618227005
11,0.8214374780654907,0.4188149571418762,5e-05,0.6156250238418579,0.6249970197677612
12,0.8184531331062317,0.4152262508869171,5e-05,0.6662499904632568,0.613586962223053
13,0.8231874704360962,0.40763556957244873,2.5e-05,0.678906261920929,0.6100817918777466
14,0.8248906135559082,0.40776434540748596,2.5e-05,0.6659374833106995,0.6105945706367493
15,0.8284531235694885,0.4015512764453888,2.5e-05,0.6623437404632568,0.6098901629447937
16,0.8286874890327454,0.4009213149547577,2.5e-05,0.6707812547683716,0.6068103313446045
17,0.8286718726158142,0.3982936441898346,2.5e-05,0.6592187285423279,0.6057266592979431
18,0.8286250233650208,0.39479294419288635,2.5e-05,0.6898437738418579,0.598362147808075
19,0.8315469026565552,0.391139954328537,2.5e-05,0.6771875023841858,0.6038399934768677
20,0.8308437466621399,0.3914162814617157,2.5e-05,0.6603124737739563,0.5982074737548828
21,0.8349375128746033,0.38633114099502563,2.5e-05,0.6600000262260437,0.615985095500946
22,0.8342187404632568,0.386701375246048,2.5e-05,0.6628124713897705,0.6074701547622681
23,0.8340312242507935,0.3859379291534424,1.25e-05,0.6767187714576721,0.6062435507774353
24,0.8351250290870667,0.38383063673973083,1.25e-05,0.6742187738418579,0.6040281653404236
25,0.8365312218666077,0.38266265392303467,6.25e-06,0.6760937571525574,0.5999365448951721
26,0.8375312685966492,0.3827146291732788,6.25e-06,0.6739062666893005,0.5984108448028564
27,0.8370468616485596,0.3829186260700226,3.125e-06,0.6860937476158142,0.6026151776313782
28,0.8380625247955322,0.37968993186950684,3.125e-06,0.6848437786102295,0.6024471521377563
29,0.8359531164169312,0.3815297484397888,1.5625e-06,0.6829687356948853,0.605558454990387
30,0.8366249799728394,0.38042357563972473,1.5625e-06,0.6892187595367432,0.6026627421379089
31,0.8405625224113464,0.3798031210899353,1e-06,0.686718761920929,0.6002897024154663
32,0.8352344036102295,0.38104119896888733,1e-06,0.6915624737739563,0.6044967174530029
