epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.5546093583106995,0.8872631192207336,1e-04,0.6465625166893005,0.7982425093650818
1,0.626828134059906,0.747610330581665,1e-04,0.7265625,0.7375924587249756
2,0.6722031235694885,0.6746059656143188,1e-04,0.7170312404632568,0.715954065322876
3,0.7084687352180481,0.6129781007766724,1e-04,0.7190625071525574,0.6773877739906311
4,0.7357968688011169,0.5619198679924011,1e-04,0.7176562547683716,0.6440030932426453
5,0.7514843940734863,0.5239853858947754,1e-04,0.7428125143051147,0.6363481879234314
6,0.7687812447547913,0.4955902397632599,1e-04,0.7287499904632568,0.6316360831260681
7,0.7808125019073486,0.47186586260795593,1e-04,0.7268750071525574,0.6273891925811768
8,0.7873749732971191,0.4533991813659668,1e-04,0.7350000143051147,0.6208350658416748
9,0.7966562509536743,0.4378502368927002,1e-04,0.7315624952316284,0.6208642721176147
10,0.8007187247276306,0.4271146357059479,1e-04,0.7356250286102295,0.6476514935493469
11,0.8100000023841858,0.4141002297401428,5e-05,0.7475000023841858,0.6357753872871399
12,0.8116093873977661,0.41214194893836975,5e-05,0.7367187738418579,0.6339517831802368
13,0.8166718482971191,0.4053640067577362,2.5e-05,0.7393749952316284,0.6300420165061951
14,0.8189530968666077,0.4023664593696594,2.5e-05,0.7376562356948853,0.616715133190155
15,0.8210155963897705,0.3997582197189331,2.5e-05,0.7392187714576721,0.625664234161377
16,0.8207499980926514,0.3983238935470581,2.5e-05,0.7456250190734863,0.6169674396514893
17,0.8229062557220459,0.3949524164199829,1.25e-05,0.7435937523841858,0.6237627863883972
18,0.8267031311988831,0.393932580947876,1.25e-05,0.7467187643051147,0.6198657155036926
19,0.8249375224113464,0.39133554697036743,6.25e-06,0.7406250238418579,0.6224018335342407
20,0.8261250257492065,0.3903457522392273,6.25e-06,0.7426562309265137,0.6223101615905762
21,0.8261874914169312,0.39076781272888184,3.125e-06,0.7417187690734863,0.6208180785179138
22,0.8266249895095825,0.3896850645542145,3.125e-06,0.7439062595367432,0.622940182685852
23,0.8251718878746033,0.3925193250179291,1.5625e-06,0.7440624833106995,0.622499406337738
24,0.8225468993186951,0.39242494106292725,1.5625e-06,0.7409374713897705,0.6217777729034424
25,0.8241406083106995,0.3906204104423523,1e-06,0.7395312786102295,0.6217017769813538
26,0.8256718516349792,0.3891495168209076,1e-06,0.7434375286102295,0.6227657198905945
