timestamp,total_frames,duration_seconds,wall_clock_duration_seconds,average_fps,confidence_threshold,min_gap_s,min_length_s,model_type,advanced_features,raw_gesture_frames,raw_gesture_percentage,processed_segments,total_gesture_time,average_segment_duration,gestures_per_minute,segment_id,segment_label,segment_start_time,segment_end_time,segment_duration
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,1,Gesture,2.05,2.45,0.40000000000000036
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,2,Gesture,2.6,2.85,0.25
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,3,Gesture,4.55,5.05,0.5
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,4,Gesture,8.05,8.15,0.09999999999999964
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,5,Gesture,8.5,9.05,0.5500000000000007
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,6,Gesture,9.65,10.45,0.7999999999999989
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,7,Gesture,13.2,13.3,0.10000000000000142
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,8,Gesture,13.85,14.1,0.25
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,9,Gesture,14.15,14.2,0.049999999999998934
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,10,Gesture,14.25,14.75,0.5
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,11,Gesture,15.35,15.4,0.05000000000000071
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,12,Gesture,18.0,18.2,0.1999999999999993
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,13,Gesture,19.35,19.55,0.1999999999999993
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,14,Gesture,20.4,21.8,1.4000000000000021
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,15,Gesture,21.85,21.9,0.04999999999999716
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,16,Gesture,22.2,22.25,0.05000000000000071
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,17,Gesture,22.35,22.85,0.5
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,18,Gesture,23.1,23.45,0.34999999999999787
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,19,Gesture,23.85,24.05,0.1999999999999993
2026-02-19 12:13:06,578,28.85,39.164482831954956,20.034662045060657,0.8,0.0,0.0,LightGBM,True,262,45.32871972318339,20,6.949999999999996,0.3474999999999998,30.640006281939208,20,Gesture,24.55,25.0,0.4499999999999993
