frame,timestamp,wall_clock_time,gesture,confidence,threshold,raw_gesture
81,4.05,5.851939678192139,NoGesture,0.0,0.8,NoGesture
82,4.1,5.927993535995483,NoGesture,0.0,0.8,NoGesture
83,4.15,5.988501310348511,NoGesture,0.0,0.8,NoGesture
84,4.2,6.063705205917358,NoGesture,0.0,0.8,NoGesture
85,4.25,6.138997316360474,NoGesture,0.0,0.8,NoGesture
86,4.3,6.213079929351807,NoGesture,0.0,0.8,NoGesture
87,4.35,6.274080276489258,NoGesture,0.0,0.8,NoGesture
88,4.4,6.335648536682129,NoGesture,0.0,0.8,NoGesture
89,4.45,6.395214319229126,NoGesture,0.0,0.8,NoGesture
90,4.5,6.45680570602417,NoGesture,0.0,0.8,NoGesture
91,4.55,6.518956184387207,GESTURE,0.8109286983348354,0.8,GESTURE
92,4.6,6.58005690574646,GESTURE,0.8941580959309655,0.8,GESTURE
93,4.65,6.655736207962036,GESTURE,0.9228755896517743,0.8,GESTURE
94,4.7,6.71524453163147,GESTURE,0.940814399297544,0.8,GESTURE
95,4.75,6.776750087738037,GESTURE,0.9347587919498964,0.8,GESTURE
96,4.8,6.86826753616333,GESTURE,0.908003387173185,0.8,GESTURE
97,4.85,6.928776025772095,GESTURE,0.923932401441066,0.8,GESTURE
98,4.9,6.989609718322754,GESTURE,0.9209313882741432,0.8,GESTURE
99,4.95,7.050117492675781,GESTURE,0.9016655171725654,0.8,GESTURE
100,5.0,7.112131595611572,GESTURE,0.8382441816075992,0.8,GESTURE
101,5.05,7.17113184928894,NoGesture,0.0,0.8,NoGesture
102,5.1,7.24715256690979,NoGesture,0.0,0.8,NoGesture
103,5.15,7.30766224861145,NoGesture,0.0,0.8,NoGesture
104,5.2,7.383391380310059,NoGesture,0.0,0.8,NoGesture
105,5.25,7.459914445877075,NoGesture,0.0,0.8,NoGesture
106,5.3,7.520414113998413,NoGesture,0.0,0.8,NoGesture
107,5.35,7.582414150238037,NoGesture,0.0,0.8,NoGesture
108,5.4,7.641932487487793,NoGesture,0.0,0.8,NoGesture
109,5.45,7.716447114944458,NoGesture,0.0,0.8,NoGesture
110,5.5,7.792446851730347,NOGESTURE,0.8214007730846679,0.8,NOGESTURE
111,5.55,7.869956731796265,NOGESTURE,0.8327794506277009,0.8,NOGESTURE
112,5.6,7.927969694137573,NoGesture,0.0,0.8,NoGesture
113,5.65,7.988344430923462,NoGesture,0.0,0.8,NoGesture
114,5.7,8.049358367919922,NoGesture,0.0,0.8,NoGesture
115,5.75,8.109862804412842,NoGesture,0.0,0.8,NoGesture
116,5.8,8.185876607894897,NoGesture,0.0,0.8,NoGesture
117,5.85,8.276890516281128,NoGesture,0.0,0.8,NoGesture
118,5.9,8.339903593063354,NoGesture,0.0,0.8,NoGesture
119,5.95,8.428916931152344,NoGesture,0.0,0.8,NoGesture
120,6.0,8.488934993743896,NOGESTURE,0.8625734685438168,0.8,NOGESTURE
121,6.05,8.53856635093689,NOGESTURE,0.9232568036891937,0.8,NOGESTURE
122,6.1,8.610576391220093,NOGESTURE,0.9055463303702533,0.8,NOGESTURE
123,6.15,8.672594785690308,NOGESTURE,0.9352072833549653,0.8,NOGESTURE
124,6.2,8.7476065158844,NOGESTURE,0.949348961602209,0.8,NOGESTURE
125,6.25,8.816627264022827,NOGESTURE,0.9551285190828277,0.8,NOGESTURE
126,6.3,8.872128963470459,NOGESTURE,0.9398945004097853,0.8,NOGESTURE
127,6.35,8.94664192199707,NOGESTURE,0.9483301961817772,0.8,NOGESTURE
128,6.4,8.998657703399658,NOGESTURE,0.9545686116630686,0.8,NOGESTURE
129,6.45,9.063163042068481,NOGESTURE,0.9647596092128655,0.8,NOGESTURE
130,6.5,9.112679719924927,NOGESTURE,0.950311015317098,0.8,NOGESTURE
131,6.55,9.178247928619385,NOGESTURE,0.9624905702418043,0.8,NOGESTURE
132,6.6,9.234264135360718,NOGESTURE,0.9547645280087564,0.8,NOGESTURE
133,6.65,9.328230619430542,NOGESTURE,0.9618773475629601,0.8,NOGESTURE
134,6.7,9.729759216308594,NOGESTURE,0.9570962821005399,0.8,NOGESTURE
135,6.75,9.779754400253296,NOGESTURE,0.9490690958434392,0.8,NOGESTURE
136,6.8,9.840771198272705,NOGESTURE,0.9629587545613106,0.8,NOGESTURE
137,6.85,9.88577151298523,NOGESTURE,0.9603586190490224,0.8,NOGESTURE
138,6.9,9.93128514289856,NOGESTURE,0.969756267271039,0.8,NOGESTURE
139,6.95,9.992296695709229,NOGESTURE,0.9680849980432024,0.8,NOGESTURE
140,7.0,10.03780460357666,NOGESTURE,0.9450650946342588,0.8,NOGESTURE
141,7.05,10.083309888839722,NOGESTURE,0.9552729957696214,0.8,NOGESTURE
142,7.1,10.128817081451416,NOGESTURE,0.9601749744936509,0.8,NOGESTURE
143,7.15,10.189322710037231,NOGESTURE,0.9740429677591931,0.8,NOGESTURE
144,7.2,10.234830856323242,NOGESTURE,0.9684129499421704,0.8,NOGESTURE
145,7.25,10.280336141586304,NOGESTURE,0.9082610208390605,0.8,NOGESTURE
146,7.3,10.32784366607666,NOGESTURE,0.8536162991016285,0.8,NOGESTURE
147,7.35,10.386351823806763,NoGesture,0.0,0.8,NoGesture
148,7.4,10.447869539260864,NoGesture,0.0,0.8,NoGesture
149,7.45,10.508894681930542,NoGesture,0.0,0.8,NoGesture
150,7.5,10.554399967193604,NoGesture,0.0,0.8,NoGesture
151,7.55,10.600907325744629,NoGesture,0.0,0.8,NoGesture
152,7.6,10.6455237865448,NoGesture,0.0,0.8,NoGesture
153,7.65,10.69183874130249,NoGesture,0.0,0.8,NoGesture
154,7.7,10.737346887588501,NoGesture,0.0,0.8,NoGesture
155,7.75,10.782347202301025,NoGesture,0.0,0.8,NoGesture
156,7.8,10.858361959457397,NoGesture,0.0,0.8,NoGesture
157,7.85,10.951088190078735,NoGesture,0.0,0.8,NoGesture
158,7.9,11.041102886199951,NoGesture,0.0,0.8,NoGesture
159,7.95,11.116112470626831,NoGesture,0.0,0.8,NoGesture
160,8.0,11.192112922668457,NoGesture,0.0,0.8,NoGesture
161,8.05,11.252133846282959,GESTURE,0.8900946126162852,0.8,GESTURE
162,8.1,11.327157258987427,GESTURE,0.81234385844432,0.8,GESTURE
163,8.15,11.403159141540527,NoGesture,0.0,0.8,NoGesture
164,8.2,11.463676452636719,NoGesture,0.0,0.8,NoGesture
165,8.25,11.540076971054077,NoGesture,0.0,0.8,NoGesture
166,8.3,11.614583969116211,NoGesture,0.0,0.8,NoGesture
167,8.35,11.67608904838562,NoGesture,0.0,0.8,NoGesture
168,8.4,11.752102851867676,NoGesture,0.0,0.8,NoGesture
169,8.45,11.828116416931152,NoGesture,0.0,0.8,NoGesture
170,8.5,11.888621807098389,GESTURE,0.8274460663558001,0.8,GESTURE
171,8.55,11.979146242141724,GESTURE,0.8562533808574758,0.8,GESTURE
172,8.6,12.039153099060059,GESTURE,0.8647443105858051,0.8,GESTURE
173,8.65,12.113667726516724,GESTURE,0.9012130539692891,0.8,GESTURE
174,8.7,12.189863681793213,GESTURE,0.9110066323836423,0.8,GESTURE
175,8.75,12.250876903533936,GESTURE,0.9331981519890041,0.8,GESTURE
