epoch,loss,accuracy,learning_rate
1,1.1678705215454102,0.7310312390327454,9.999999747378752e-05
2,0.8752447962760925,0.7971015572547913,9.999999747378752e-05
3,0.6989823579788208,0.8289218544960022,9.999999747378752e-05
4,0.5775966644287109,0.8488125205039978,9.999999747378752e-05
5,0.4966468811035156,0.8616328239440918,9.999999747378752e-05
6,0.4399610757827759,0.8722890615463257,9.999999747378752e-05
7,0.4010676145553589,0.8820781111717224,9.999999747378752e-05
8,0.37253543734550476,0.8880781531333923,9.999999747378752e-05
9,0.34704992175102234,0.8960000276565552,9.999999747378752e-05
10,0.32862821221351624,0.9011484384536743,9.999999747378752e-05
11,0.31423982977867126,0.9064140915870667,9.999999747378752e-05
12,0.30079224705696106,0.9107031226158142,9.999999747378752e-05
13,0.2915409207344055,0.9123359322547913,9.999999747378752e-05
14,0.28104904294013977,0.9156015515327454,9.999999747378752e-05
15,0.27328798174858093,0.9193515777587891,9.999999747378752e-05
