epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.7571874856948853,1.0321335792541504,1e-04,0.6832812428474426,1.0351614952087402
1,0.8108906149864197,0.830818772315979,1e-04,0.7232812643051147,0.9486238360404968
2,0.8358906507492065,0.7019170522689819,1e-04,0.6910937428474426,0.905823290348053
3,0.8504375219345093,0.6097354292869568,1e-04,0.6956250071525574,0.9075925946235657
4,0.8609374761581421,0.5451637506484985,1e-04,0.710156261920929,0.899956226348877
5,0.8706562519073486,0.4908659756183624,1e-04,0.710156261920929,0.7652942538261414
6,0.8781406283378601,0.4511672258377075,1e-04,0.7190625071525574,1.034927248954773
7,0.8832343816757202,0.4186830222606659,1e-04,0.7114062309265137,0.8380383253097534
8,0.8882656097412109,0.39462336897850037,5e-05,0.7254687547683716,0.7547877430915833
9,0.8922968506813049,0.38072967529296875,5e-05,0.7170312404632568,0.8365287780761719
10,0.8967812657356262,0.3710351288318634,5e-05,0.7200000286102295,0.8587589263916016
11,0.9019843935966492,0.35700130462646484,2.5e-05,0.7231249809265137,0.8833364844322205
12,0.900765597820282,0.3529130518436432,2.5e-05,0.7281249761581421,0.820860743522644
13,0.9043906331062317,0.34759721159935,1.25e-05,0.7290624976158142,0.8217143416404724
14,0.9051093459129333,0.34751594066619873,1.25e-05,0.7240625023841858,0.8372074961662292
15,0.907156229019165,0.34139204025268555,6.25e-06,0.7204687595367432,0.8596475124359131
16,0.9054062366485596,0.33949869871139526,6.25e-06,0.7242187261581421,0.8470709919929504
17,0.9081249833106995,0.3409193754196167,3.125e-06,0.7193750143051147,0.8405407667160034
18,0.9061562418937683,0.33794769644737244,3.125e-06,0.7240625023841858,0.8622711896896362
19,0.908578097820282,0.3375195860862732,1.5625e-06,0.7229687571525574,0.8607437014579773
20,0.9074375033378601,0.33631575107574463,1.5625e-06,0.7251562476158142,0.8583254218101501
