epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.5463593602180481,0.8495213985443115,1e-04,0.4593749940395355,0.7503296136856079
1,0.5997187495231628,0.7190364599227905,1e-04,0.6504687666893005,0.7045038342475891
2,0.6658750176429749,0.6513127684593201,1e-04,0.7020312547683716,0.6858667135238647
3,0.7158750295639038,0.5918723344802856,1e-04,0.7404687404632568,0.6471372842788696
4,0.7425937652587891,0.5466641783714294,1e-04,0.7314062714576721,0.6197659373283386
5,0.7565781474113464,0.5127893090248108,1e-04,0.7314062714576721,0.6195144653320312
6,0.7691406011581421,0.48724257946014404,1e-04,0.7295312285423279,0.602058470249176
7,0.7821406126022339,0.4659711718559265,1e-04,0.7225000262260437,0.610887348651886
8,0.7904531359672546,0.44681259989738464,1e-04,0.7348437309265137,0.6022775769233704
9,0.8040156364440918,0.4324948191642761,5e-05,0.7325000166893005,0.6251085996627808
10,0.8029999732971191,0.42767077684402466,5e-05,0.7376562356948853,0.628452718257904
11,0.8114062547683716,0.41977962851524353,2.5e-05,0.7431250214576721,0.6210373640060425
12,0.8090937733650208,0.42118096351623535,2.5e-05,0.739062488079071,0.6293686628341675
13,0.814578115940094,0.414924293756485,1.25e-05,0.737500011920929,0.6215296387672424
14,0.814328134059906,0.41440457105636597,1.25e-05,0.7415624856948853,0.6207174062728882
15,0.8135312795639038,0.41320809721946716,6.25e-06,0.7400000095367432,0.6255939602851868
16,0.8176249861717224,0.41132989525794983,6.25e-06,0.7431250214576721,0.6253087520599365
17,0.8154374957084656,0.41158217191696167,3.125e-06,0.7420312762260437,0.6242231130599976
18,0.8147656321525574,0.4121113717556,3.125e-06,0.7381250262260437,0.6214425563812256
