epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.7153280973434448,1.2252728939056396,1e-04,0.5649999976158142,1.133176326751709
1,0.7860000133514404,0.9455937147140503,1e-04,0.6048437356948853,0.9989683032035828
2,0.815359354019165,0.7820493578910828,1e-04,0.6842187643051147,0.9318564534187317
3,0.8349687457084656,0.6661105155944824,1e-04,0.6974999904632568,0.8606300354003906
4,0.8498125076293945,0.582855761051178,1e-04,0.703906238079071,0.8914783596992493
5,0.8610000014305115,0.5186415910720825,1e-04,0.6815624833106995,0.8003286719322205
6,0.8681718707084656,0.47205960750579834,1e-04,0.70703125,0.8826779127120972
7,0.8755312561988831,0.4355587959289551,1e-04,0.6948437690734863,0.7342910170555115
8,0.8784375190734863,0.4093134105205536,1e-04,0.7059375047683716,0.7559278607368469
9,0.8836874961853027,0.38408362865448,1e-04,0.7003124952316284,0.7576572895050049
10,0.8918281197547913,0.3651329278945923,5e-05,0.7154687643051147,0.7968477010726929
11,0.8978437781333923,0.3507649302482605,5e-05,0.727343738079071,0.8329710960388184
12,0.9000625014305115,0.34332460165023804,2.5e-05,0.7123437523841858,0.7950301170349121
13,0.9010312557220459,0.3375905454158783,2.5e-05,0.7165625095367432,0.8251192569732666
14,0.9025781154632568,0.3361303508281708,1.25e-05,0.7146875262260437,0.8171451687812805
15,0.9047031402587891,0.3308647572994232,1.25e-05,0.7189062237739563,0.8499314188957214
16,0.9049375057220459,0.3279021382331848,6.25e-06,0.7210937738418579,0.8240336775779724
17,0.9052500128746033,0.3290241062641144,6.25e-06,0.7170312404632568,0.8057741522789001
18,0.9041875004768372,0.3237810730934143,3.125e-06,0.719531238079071,0.8317856788635254
19,0.9047656059265137,0.32476112246513367,3.125e-06,0.7203124761581421,0.8350127339363098
