epoch,overall_acc,motion_acc,val_loss,train_loss,train_acc,learning_rate,NoGesture_acc,Gesture_acc,Move_acc,nogesture_to_gesture,nogesture_to_move,gesture_to_nogesture,gesture_to_move,move_to_nogesture,move_to_gesture
0,0.3734375,0.3734375,,,,9.999999747378752e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.31546875,0.63828125,0.7665457129478455,0.8971629738807678,0.5589218735694885,9.999999747378752e-05,0.05606694560669456,0.38596491228070173,0.6023091725465042,0.11338912133891213,0.8305439330543933,0.0036719706242350062,0.6103631170950632,0.03207184092366902,0.36561898652982683
1,0.36078125,0.64828125,0.7231460809707642,0.7283150553703308,0.5887030959129333,9.999999747378752e-05,0.1682008368200837,0.5577315381476948,0.3463758819756254,0.21548117154811716,0.6163179916317991,0.022439820481436147,0.41982864137086906,0.1334188582424631,0.5202052597819115
2,0.46859375,0.70359375,0.6803810000419617,0.6509969830513,0.665765643119812,9.999999747378752e-05,0.3623430962343096,0.5956752345981232,0.431686978832585,0.23514644351464434,0.40251046025104603,0.05589555283557732,0.3484292125662995,0.15137908915971776,0.41693393200769724
3,0.4790625,0.69796875,0.648227870464325,0.5899607539176941,0.7200937271118164,9.999999747378752e-05,0.3673640167364017,0.5940432476540187,0.46953175112251444,0.2907949790794979,0.3418410041841004,0.06405548755609955,0.3419012647898817,0.16933932007697242,0.36112892880051317
4,0.48375,0.699375,0.6199678182601929,0.5455371141433716,0.7484062314033508,9.999999747378752e-05,0.36359832635983264,0.6177070583435332,0.4573444515715202,0.295397489539749,0.3410041841004184,0.06119951040391677,0.32109343125254997,0.16228351507376523,0.38037203335471453
5,0.51890625,0.7009375,0.5936369895935059,0.5113208889961243,0.7697187662124634,9.999999747378752e-05,0.3782426778242678,0.7184822521419829,0.4207825529185375,0.3686192468619247,0.25313807531380755,0.056303549571603426,0.2252141982864137,0.1860166773572803,0.39320076972418216
6,0.51078125,0.7125,0.5902985334396362,0.4833337962627411,0.7825312614440918,9.999999747378752e-05,0.3807531380753138,0.6797225622195022,0.4445157152020526,0.33263598326359833,0.28661087866108786,0.05018359853121175,0.270093839249286,0.15202052597819116,0.40346375881975627
7,0.5521875,0.71578125,0.6124812960624695,0.46031278371810913,0.7966874837875366,9.999999747378752e-05,0.6276150627615062,0.7082823337413301,0.19114817190506736,0.2891213389121339,0.08326359832635984,0.17503059975520197,0.11668706650346797,0.3207184092366902,0.48813341885824246
8,0.56265625,0.71765625,0.5812719464302063,0.4403238892555237,0.8065000176429749,9.999999747378752e-05,0.5794979079497908,0.6699306405548756,0.36818473380372035,0.29414225941422595,0.12635983263598327,0.15503875968992248,0.17503059975520197,0.27068633739576653,0.36112892880051317
9,0.539375,0.690625,0.6229085922241211,0.4227156341075897,0.8188437223434448,9.999999747378752e-05,0.6472803347280335,0.6344349245206038,0.22450288646568314,0.2665271966527197,0.08619246861924686,0.22684618523051817,0.138718890248878,0.372674791533034,0.4028223220012829
10,0.52,0.71734375,0.5963883996009827,0.4123384952545166,0.8229843974113464,9.999999747378752e-05,0.47447698744769873,0.7662178702570379,0.2026940346375882,0.36903765690376567,0.15648535564853555,0.1003671970624235,0.13341493268053856,0.19692110327132778,0.600384862091084
11,0.54421875,0.72046875,0.5692466497421265,0.40057820081710815,0.8327968716621399,4.999999873689376e-05,0.5435146443514645,0.6466748266013872,0.38422065426555485,0.2673640167364017,0.1891213389121339,0.1175030599755202,0.23582211342309262,0.26298909557408595,0.3527902501603592
12,0.56125,0.7190625,0.5870928764343262,0.3946453630924225,0.8355468511581421,4.999999873689376e-05,0.590794979079498,0.7066503467972256,0.2873636946760744,0.28870292887029286,0.1205020920502092,0.16034271725826194,0.13300693594451243,0.2738935214881334,0.4387427838357922
13,0.55671875,0.72875,0.5718057155609131,0.3893587291240692,0.8390937447547913,4.999999873689376e-05,0.5543933054393305,0.7164422684618523,0.30917254650416937,0.3184100418410042,0.12719665271966527,0.13259893920848634,0.15095879232966136,0.22193713919178962,0.46889031430404104
14,0.54140625,0.7146875,0.5988675951957703,0.3850765824317932,0.8418281078338623,2.499999936844688e-05,0.602092050209205,0.6952264381884945,0.2065426555484285,0.2870292887029289,0.1108786610878661,0.17095063239494085,0.13382292941656468,0.2924951892238615,0.50096215522771
15,0.53109375,0.7128125,0.5864898562431335,0.3833233416080475,0.8434531092643738,2.499999936844688e-05,0.5422594142259414,0.6915544675642595,0.2617062219371392,0.300836820083682,0.15690376569037656,0.13178294573643412,0.1766625866993064,0.27004490057729313,0.46824887748556765
16,0.5434375,0.7178125,0.5874845385551453,0.38117435574531555,0.8440312743186951,1.249999968422344e-05,0.5849372384937238,0.6903304773561811,0.24887748556767159,0.29916317991631797,0.11589958158995815,0.1489188086495308,0.16075071399428806,0.28800513149454776,0.46311738293778065
17,0.5425,0.71421875,0.5907735228538513,0.37833845615386963,0.8450000286102295,1.249999968422344e-05,0.605020920502092,0.6727866177070584,0.2418216805644644,0.27656903765690377,0.11841004184100419,0.17176662586699307,0.1554467564259486,0.29762668377164847,0.4605516356638871
18,0.5421875,0.71671875,0.5827681422233582,0.37745893001556396,0.8458593487739563,6.24999984211172e-06,0.599581589958159,0.6687066503467972,0.2552918537524054,0.27615062761506276,0.12426778242677824,0.16442268461852305,0.16687066503467973,0.2905708787684413,0.4541372674791533
19,0.54265625,0.7153125,0.5877746939659119,0.3756939172744751,0.8453437685966492,6.24999984211172e-06,0.5953974895397489,0.6744186046511628,0.25465041693393203,0.28368200836820084,0.12092050209205021,0.1631986944104447,0.1623827009383925,0.2918537524053881,0.45349583066067994
20,0.543125,0.7165625,0.589297890663147,0.3766692280769348,0.8440625071525574,3.12499992105586e-06,0.597489539748954,0.6756425948592412,0.2514432328415651,0.2799163179916318,0.12259414225941423,0.16115871073031415,0.1631986944104447,0.2931366260423348,0.4554201411161001
21,0.54546875,0.71671875,0.5886591076850891,0.37490135431289673,0.8471562266349792,3.12499992105586e-06,0.601673640167364,0.6752345981232151,0.2552918537524054,0.27866108786610877,0.1196652719665272,0.16442268461852305,0.16034271725826194,0.2937780628608082,0.4509300833867864
22,0.54640625,0.71703125,0.5929351449012756,0.37563908100128174,0.8460624814033508,1.56249996052793e-06,0.600836820083682,0.6878824969400245,0.24053880692751764,0.28326359832635983,0.11589958158995815,0.1623827009383925,0.14973480212158302,0.2944194996792816,0.4650416933932008
23,0.54546875,0.7159375,0.5914816856384277,0.3745274245738983,0.8486250042915344,1.56249996052793e-06,0.6,0.6838025295797634,0.24438742783835793,0.2828451882845188,0.11715481171548117,0.16442268461852305,0.15177478580171358,0.2944194996792816,0.46119307248236047
