epoch,custom_accuracy,loss,lr,val_custom_accuracy,val_loss
0,0.5910312533378601,0.8299074172973633,1e-04,0.6857812404632568,0.7372878789901733
1,0.6447656154632568,0.6962732672691345,1e-04,0.6884375214576721,0.6839351654052734
2,0.693484365940094,0.6294223666191101,1e-04,0.6737499833106995,0.6565725207328796
3,0.710281252861023,0.582984209060669,1e-04,0.6887500286102295,0.6331203579902649
4,0.7272031307220459,0.5463605523109436,1e-04,0.6759374737739563,0.6172997951507568
5,0.738031268119812,0.5169991850852966,1e-04,0.6860937476158142,0.6073812246322632
6,0.7505312561988831,0.49311572313308716,1e-04,0.6846874952316284,0.5971201062202454
7,0.7625625133514404,0.4716591238975525,1e-04,0.6879687309265137,0.6217603087425232
8,0.7749843597412109,0.4552267789840698,1e-04,0.7093750238418579,0.591649055480957
9,0.7844374775886536,0.43727821111679077,1e-04,0.7051562666893005,0.5788718461990356
10,0.7884218692779541,0.42604008316993713,1e-04,0.7428125143051147,0.5786808133125305
11,0.7940937280654907,0.4177356958389282,1e-04,0.7132812738418579,0.5632240772247314
12,0.8000937700271606,0.40612560510635376,1e-04,0.7207812666893005,0.5724582076072693
13,0.8057187795639038,0.3974023461341858,1e-04,0.7243750095367432,0.5766140222549438
14,0.814203143119812,0.38689085841178894,5e-05,0.7289062738418579,0.5642256736755371
15,0.8163124918937683,0.3829070031642914,5e-05,0.7157812714576721,0.5720487833023071
16,0.8209218978881836,0.37828925251960754,2.5e-05,0.7190625071525574,0.5835404396057129
17,0.8228281140327454,0.3745422661304474,2.5e-05,0.7264062762260437,0.5705763101577759
18,0.8248124718666077,0.37260639667510986,1.25e-05,0.7271875143051147,0.5649791955947876
19,0.8258593678474426,0.37156638503074646,1.25e-05,0.7295312285423279,0.5707123279571533
20,0.8266562223434448,0.36872702836990356,6.25e-06,0.7259374856948853,0.5708817839622498
21,0.8278906345367432,0.36960431933403015,6.25e-06,0.727343738079071,0.5670413374900818
22,0.8263906240463257,0.369452565908432,3.125e-06,0.7292187213897705,0.5710446834564209
23,0.8281718492507935,0.369183748960495,3.125e-06,0.7282812595367432,0.5659812092781067
